"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"8";"";"JP2EJP2_OHNE_TEXT";"JP2";"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8";"JUMPER";"";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";
"3";"";"SJ";"SJ";"SJ1, SJ2, SJ3";"SMD solder JUMPER";"";
"2";"";"TRIM_EU-PT10";"PT-10";"R17, R18";"POTENTIOMETER";"";
"1";"100nF";"C-EUC0805";"C0805";"C1";"CAPACITOR, European symbol";"";
"1";"100µF / 16V";"CPOL-EUD";"PANASONIC_D";"C2";"POLARIZED CAPACITOR, European symbol";"";
"9";"10k";"R-EU_R0805";"R0805";"R1, R9, R10, R11, R12, R13, R14, R15, R16";"RESISTOR, European symbol";"";
"5";"1k";"R-EU_R0805";"R0805";"R2, R3, R6, R7, R8";"RESISTOR, European symbol";"";
"1";"ATtiny841-SSU";"TINY24/44/84-SSU";"SOIC14";"IC2";"";"";
"4";"IRLML2502";"IRLML2502";"SOT23-3";"Q1, Q2, Q3, Q4";"International Rectifier";"";
"1";"ISP";"ISP";"ISP";"U$1";"";"";
"1";"POLOLU2121";"POLOLU2121";"POLOLU2121";"IC1";"";"";
